title,company,location,job_type,skills,date_posted
Marketing Manager,On-site,"Heliopolis, Cairo, Egypt","Heliopolis, Cairo, Egypt","Heliopolis, Cairo, Egypt, Full Time, On-site, · 7 - 10 Yrs of Exp","Heliopolis, Cairo, Egypt"
Senior Sales,On-site,"Katameya, Cairo, Egypt","Katameya, Cairo, Egypt","Katameya, Cairo, Egypt, Full Time, On-site, · 3 - 5 Yrs of Exp","Katameya, Cairo, Egypt"
Human Resources Generalist,Hybrid,"New Cairo, Cairo, Egypt","New Cairo, Cairo, Egypt","New Cairo, Cairo, Egypt, Full Time, Hybrid, · 2 - 5 Yrs of Exp","New Cairo, Cairo, Egypt"
HSE Section Head,On-site,"Agami, Alexandria, Egypt","Agami, Alexandria, Egypt","Agami, Alexandria, Egypt, Full Time, On-site, · 7 - 10 Yrs of Exp","Agami, Alexandria, Egypt"
HR Manager,On-site,"6th of October, Giza, Egypt","6th of October, Giza, Egypt","6th of October, Giza, Egypt, Full Time, On-site, · 7 - 10 Yrs of Exp","6th of October, Giza, Egypt"
Supply Chain Manager,On-site,"Heliopolis, Cairo, Egypt","Heliopolis, Cairo, Egypt","Heliopolis, Cairo, Egypt, Full Time, On-site, · 15 - 20 Yrs of Exp","Heliopolis, Cairo, Egypt"
Warehouse Manager,On-site,"10th of Ramadan City, Sharqia, Egypt","10th of Ramadan City, Sharqia, Egypt","10th of Ramadan City, Sharqia, Egypt, Full Time, On-site, · 7 - 10 Yrs of Exp","10th of Ramadan City, Sharqia, Egypt"
HR Supervisor,On-site,"Alexandria, Egypt","Alexandria, Egypt","Alexandria, Egypt, Full Time, On-site, · 5 - 8 Yrs of Exp","Alexandria, Egypt"
Technical Office Engineer,On-site,"Katameya, Cairo, Egypt","Katameya, Cairo, Egypt","Katameya, Cairo, Egypt, Full Time, On-site, · 1 - 7 Yrs of Exp","Katameya, Cairo, Egypt"
Production Engineer,On-site,"Alsadat City, Monufya, Egypt","Alsadat City, Monufya, Egypt","Alsadat City, Monufya, Egypt, Full Time, On-site, · 0 - 2 Yrs of Exp, · males_only","Alsadat City, Monufya, Egypt"
"Customer Service Advisor, German Speaking (Voice + Non‑Voice)",Remote,"Cairo, Egypt","Cairo, Egypt","Cairo, Egypt, Full Time, Remote, · 3 - 5 Yrs of Exp","Cairo, Egypt"
Senior Talent Acquisition Specialist,On-site,"Sheraton, Cairo, Egypt","Sheraton, Cairo, Egypt","Sheraton, Cairo, Egypt, Full Time, On-site, · 3 - 7 Yrs of Exp","Sheraton, Cairo, Egypt"
Supervisor Accountant,On-site,"Shorouk City, Cairo, Egypt","Shorouk City, Cairo, Egypt","Shorouk City, Cairo, Egypt, Full Time, On-site, · 5 - 7 Yrs of Exp","Shorouk City, Cairo, Egypt"
Sales & admission specialist,Remote,"Dokki, Giza, Egypt","Dokki, Giza, Egypt","Dokki, Giza, Egypt, Full Time, Remote, · 2 - 6 Yrs of Exp","Dokki, Giza, Egypt"
Outdoor Sales Agent,On-site,"Cairo, Egypt","Cairo, Egypt","Cairo, Egypt, Full Time, On-site, · 1+ Yrs of Exp","Cairo, Egypt"
Junior Shipping Operations Coordinator,On-site,"Alexandria, Egypt","Alexandria, Egypt","Alexandria, Egypt, Full Time, On-site, · 0 - 2 Yrs of Exp","Alexandria, Egypt"
Tour Operator,On-site,"Dokki, Giza, Egypt","Dokki, Giza, Egypt","Dokki, Giza, Egypt, Full Time, On-site, · 3 - 7 Yrs of Exp","Dokki, Giza, Egypt"
Logistic Specialist.,On-site,"New Cairo, Cairo, Egypt","New Cairo, Cairo, Egypt","New Cairo, Cairo, Egypt, Full Time, On-site, · 5 - 10 Yrs of Exp","New Cairo, Cairo, Egypt"
Call Center Agent (Female only),On-site,"Nasr City, Cairo, Egypt","Nasr City, Cairo, Egypt","Nasr City, Cairo, Egypt, Full Time, On-site, · 1 - 3 Yrs of Exp, · females_only","Nasr City, Cairo, Egypt"
Technical Site Office Engineer (Refaat Construction),On-site,"Nasr City, Cairo, Egypt","Nasr City, Cairo, Egypt","Nasr City, Cairo, Egypt, Full Time, On-site, · 8+ Yrs of Exp","Nasr City, Cairo, Egypt"
Senior VAS Engineer,Hybrid,"6th of October, Giza, Egypt","6th of October, Giza, Egypt","6th of October, Giza, Egypt, Full Time, Hybrid, · 3 - 7 Yrs of Exp","6th of October, Giza, Egypt"
Technical Office Manager (Refaat Construction),On-site,"Nasr City, Cairo, Egypt","Nasr City, Cairo, Egypt","Nasr City, Cairo, Egypt, Full Time, On-site, · 10 - 20 Yrs of Exp","Nasr City, Cairo, Egypt"
Cost Accountant,On-site,"Badr City, Cairo, Egypt","Badr City, Cairo, Egypt","Badr City, Cairo, Egypt, Full Time, On-site, · 3 - 5 Yrs of Exp","Badr City, Cairo, Egypt"
Customer Service Representative,On-site,"Mahalla Kubra, Gharbia, Egypt","Mahalla Kubra, Gharbia, Egypt","Mahalla Kubra, Gharbia, Egypt, Full Time, On-site, · 7 - 10 Yrs of Exp","Mahalla Kubra, Gharbia, Egypt"
Marketing Coordinator,On-site,"Zamalek, Cairo, Egypt","Zamalek, Cairo, Egypt","Zamalek, Cairo, Egypt, Full Time, On-site, · 3 - 5 Yrs of Exp","Zamalek, Cairo, Egypt"
Network And Security Engineer,On-site,"Maadi, Cairo, Egypt","Maadi, Cairo, Egypt","Maadi, Cairo, Egypt, Full Time, On-site, · 2 - 5 Yrs of Exp, · males_only","Maadi, Cairo, Egypt"
Recruitment Specialist ( Blue Collar ),On-site,"Marg, Cairo, Egypt","Marg, Cairo, Egypt","Marg, Cairo, Egypt, Full Time, On-site, · 2 - 4 Yrs of Exp","Marg, Cairo, Egypt"
Mechanical Maintenance Manager,On-site,"Belbes, Sharqia, Egypt","Belbes, Sharqia, Egypt","Belbes, Sharqia, Egypt, Full Time, On-site, · 10 - 15 Yrs of Exp","Belbes, Sharqia, Egypt"
Social Media Specialist,On-site,"6th of October, Giza, Egypt","6th of October, Giza, Egypt","6th of October, Giza, Egypt, Full Time, On-site, · 2 - 3 Yrs of Exp","6th of October, Giza, Egypt"
HSE Specialist,On-site,"10th of Ramadan City, Sharqia, Egypt","10th of Ramadan City, Sharqia, Egypt","10th of Ramadan City, Sharqia, Egypt, Full Time, On-site, · 1 - 3 Yrs of Exp, · males_only","10th of Ramadan City, Sharqia, Egypt"
Senior Accountant (Portugal Speaker),On-site,"Nasr City, Cairo, Egypt","Nasr City, Cairo, Egypt","Nasr City, Cairo, Egypt, Full Time, On-site, · 3 - 7 Yrs of Exp","Nasr City, Cairo, Egypt"
Summer Camp Counselor - STEAMulation Hub - Alexandria,On-site,"Fleming, Alexandria, Egypt","Fleming, Alexandria, Egypt","Fleming, Alexandria, Egypt, Internship, On-site, · 0 - 1 Yrs of Exp","Fleming, Alexandria, Egypt"
Purchasing Specialist,On-site,"Nasr City, Cairo, Egypt","Nasr City, Cairo, Egypt","Nasr City, Cairo, Egypt, Full Time, On-site, · 3 - 5 Yrs of Exp","Nasr City, Cairo, Egypt"
Summer Camp Instructor - STEAMulation-Hub Alexandria,On-site,"Fleming, Alexandria, Egypt","Fleming, Alexandria, Egypt","Fleming, Alexandria, Egypt, Full Time, On-site","Fleming, Alexandria, Egypt"
Deputy Procurement Manager,On-site,"Minya, Egypt","Minya, Egypt","Minya, Egypt, Full Time, On-site, · 7 - 10 Yrs of Exp","Minya, Egypt"
Talent Acquisition Specialist,On-site,"6th of October, Giza, Egypt","6th of October, Giza, Egypt","6th of October, Giza, Egypt, Full Time, On-site, · 1 - 3 Yrs of Exp","6th of October, Giza, Egypt"
Quality Assurance and Food safety Director,On-site,"Dakahlia, Egypt","Dakahlia, Egypt","Dakahlia, Egypt, Full Time, On-site, · 10 - 15 Yrs of Exp","Dakahlia, Egypt"
HR Internship,On-site,"Nasr City, Cairo, Egypt","Nasr City, Cairo, Egypt","Nasr City, Cairo, Egypt, Internship, On-site","Nasr City, Cairo, Egypt"
"Summer Camp Instructor/ STEAMulation Hub ( New Cairo, Zayed)",On-site,"Cairo, Egypt","Cairo, Egypt","Cairo, Egypt, Full Time, On-site, · 0 - 1 Yrs of Exp","Cairo, Egypt"
Accounting Team Leader / supervisor,On-site,"Maadi, Cairo, Egypt","Maadi, Cairo, Egypt","Maadi, Cairo, Egypt, Full Time, On-site, · 8 - 10 Yrs of Exp","Maadi, Cairo, Egypt"
Tele sales Supervisor,On-site,"Assuit, Assiut, Egypt","Assuit, Assiut, Egypt","Assuit, Assiut, Egypt, Full Time, On-site, · 5 - 10 Yrs of Exp","Assuit, Assiut, Egypt"
Senior Accountant,On-site,"Maadi, Cairo, Egypt","Maadi, Cairo, Egypt","Maadi, Cairo, Egypt, Full Time, On-site, · 5 - 8 Yrs of Exp","Maadi, Cairo, Egypt"
Operational Project Manager,On-site,"Fayoum, Fayoum, Egypt","Fayoum, Fayoum, Egypt","Fayoum, Fayoum, Egypt, Full Time, On-site, · 12 - 17 Yrs of Exp","Fayoum, Fayoum, Egypt"
Medical Mapping Specialist,Hybrid,"Maadi, Cairo, Egypt","Maadi, Cairo, Egypt","Maadi, Cairo, Egypt, Full Time, Hybrid, · 1 - 3 Yrs of Exp","Maadi, Cairo, Egypt"
Telesales Agent,On-site,"Maadi, Cairo, Egypt","Maadi, Cairo, Egypt","Maadi, Cairo, Egypt, Full Time, On-site, · 3 - 7 Yrs of Exp","Maadi, Cairo, Egypt"
Tele Marketing Agent,Part Time,"Cairo, Egypt","Cairo, Egypt","Cairo, Egypt, Full Time, Part Time, Remote, · 3 - 5 Yrs of Exp, · females_only","Cairo, Egypt"
Electrical Site Engineer,On-site,"Cairo, Egypt","Cairo, Egypt","Cairo, Egypt, Full Time, On-site, · 3 - 6 Yrs of Exp","Cairo, Egypt"
English Teacher / Co-Teacher,On-site,"Haram, Giza, Egypt","Haram, Giza, Egypt","Haram, Giza, Egypt, Full Time, On-site, · 1+ Yrs of Exp","Haram, Giza, Egypt"
English Translator,Part Time,"Manama, Bahrain","Manama, Bahrain","Manama, Bahrain, Full Time, Part Time, Remote, · 2 - 7 Yrs of Exp","Manama, Bahrain"
Electrical Maintenance Engineer,On-site,"Alexandria, Egypt","Alexandria, Egypt","Alexandria, Egypt, Full Time, On-site, · 0 - 15 Yrs of Exp","Alexandria, Egypt"
